,ds,y
149,2011-02-21,-0.2231435513142097
150,2011-02-22,-0.10536051565782628
151,2011-02-23,-0.10536051565782628
152,2011-02-24,0.0
153,2011-02-25,-0.10536051565782628
154,2011-02-26,0.0
155,2011-02-27,-0.10536051565782628
156,2011-02-28,-0.10536051565782628
157,2011-03-01,-0.10536051565782628
158,2011-03-02,-0.10536051565782628
159,2011-03-03,-0.10536051565782628
160,2011-03-04,-0.10536051565782628
161,2011-03-05,-0.10536051565782628
162,2011-03-06,-0.10536051565782628
163,2011-03-07,-0.10536051565782628
164,2011-03-08,-0.10536051565782628
165,2011-03-09,-0.10536051565782628
166,2011-03-10,-0.10536051565782628
167,2011-03-11,-0.10536051565782628
168,2011-03-12,-0.10536051565782628
169,2011-03-13,-0.10536051565782628
170,2011-03-14,-0.10536051565782628
